"No.","Time","Source","Destination","Protocol","Length","Info"
"2787","62.965492","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2791","62.978377","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2793","62.990318","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2796","63.003637","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2798","63.017534","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2800","63.031519","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2801","63.041948","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2803","63.054196","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2805","63.065838","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2807","63.081287","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2809","63.095357","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2811","63.107463","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2812","63.118966","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2814","63.127740","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2816","63.139452","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2817","63.154118","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"2819","63.165905","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2821","63.175859","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2823","63.188507","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2824","63.199196","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2826","63.212376","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2828","63.228167","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2830","63.234569","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2832","63.247084","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2833","63.257237","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2835","63.271704","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2837","63.282905","192.168.2.107","5.42.169.125","UDP","114","51791  >  26508 Len=72"
"2839","63.294829","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
