"No.","Time","Source","Destination","Protocol","Length","Info"
"967","114.366280","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"969","114.381762","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"972","114.396464","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"975","114.412596","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"977","114.427381","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"980","114.442070","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"983","114.458318","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"986","114.473083","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"989","114.488599","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"991","114.502935","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"993","114.518437","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"995","114.533930","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"997","114.548976","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"998","114.564606","5.42.173.252","192.168.2.107","UDP","110","26515  >  61165 Len=68"
"1000","114.579604","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1002","114.594324","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1004","114.610611","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1006","114.624620","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1008","114.639979","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1010","114.655606","5.42.173.252","192.168.2.107","UDP","111","26515  >  61165 Len=69"
"1012","114.670041","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1014","114.685607","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1016","114.700259","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1018","114.716603","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1019","114.730607","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1021","114.746609","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1023","114.761607","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1025","114.776611","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1027","114.791406","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1029","114.806919","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1031","114.821704","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1033","114.837425","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1035","114.852517","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1037","114.868405","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"1039","114.883529","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1041","114.898849","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1043","114.913629","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1045","114.928883","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1047","114.943993","5.42.173.252","192.168.2.107","UDP","111","26515  >  61165 Len=69"
"1049","114.960017","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1051","114.975612","5.42.173.252","192.168.2.107","UDP","112","26515  >  61165 Len=70"
"1053","114.989996","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"1054","115.005546","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
